Gene	Gene_Name	Molecule	Start	End	strand	probe_start	probe_end	1451_growth_t1_avg	1451_growth_t2_avg	1451_growth_t3_avg	1451_growth_t4_avg	ura3_growth_t1_avg	ura3_growth_t2_avg	ura3_growth_t3_avg	ura3_growth_t4_avg
VNG0862G	hisF	chr	651293	650475	-	650798	650867	0.003666667	0.042	-0.031333333	-0.108	0.0175	0.049333333	-0.002333333	-0.2095
VNG0863H		chr	651889	652023	+	652006	651937	0.006	0.085666667	0.006333333	-0.183	0.0415	0.091	-0.060333333	-0.4205
VNG0864G	purL	chr	654136	652037	-	653220	653289	-0.199	-0.057333333	-0.100666667	-0.2525	-0.1705	-0.253333333	-0.103333333	-0.3315
VNG0865C		chr	654315	654932	+	654885	654816	-0.001666667	0.041333333	-0.007	-0.0695	0.0615	0.110333333	0.016	-0.0155
VNG0867G	asnA	chr	654935	656014	+	655107	655038	-0.035666667	-0.068	-0.069333333	-0.1415	0.0035	0.049	-0.015333333	-0.1465
VNG0868H		chr	656506	656036	-	656208	656277	0.077	0.118333333	0.027	0.176	0.077	0.154	0.208666667	0.2485
VNG0869G	tfbD	chr	657525	656542	-	656760	656829	0.159333333	0.148333333	0.183	0.397	0.222	0.181	0.306666667	0.3875
VNG0870G	gatC	chr	657575	657958	+	657688	657619	0.262666667	0.214333333	0.242	0.73	0.2365	0.255666667	0.460333333	0.5225
VNG0872G	gatA	chr	657961	659229	+	658230	658161	-0.022	0.074333333	0.044333333	-0.067	0.0035	0.035	-0.016333333	-0.146
VNG0873G	ykhA	chr	659707	659243	-	659378	659447	0.267666667	0.132333333	0.019666667	0.256	0.1855	0.145666667	0.203	0.25
VNG0874G	traB	chr	659810	661321	+	660092	660023	0.032	0.058333333	0.046	0.008	0.0735	0.104666667	0.140333333	-0.034
VNG0875C		chr	661579	661926	+	661825	661756	0.306666667	0.242333333	0.236333333	0.3765	0.31	0.186	0.195	0.2375
VNG0876G	purM	chr	661987	662979	+	662246	662177	-0.069333333	0	-0.098666667	-0.059	-0.009	-0.135333333	-0.048666667	-0.1095
VNG0878G	gul1	chr	663400	663071	-	663094	663163	0.206666667	0.095333333	0.073333333	0.15	0.103	0.106333333	0.172666667	0.191
VNG0879C		chr	664013	663651	-	663848	663917	-0.017	0.011666667	0.030333333	-0.0645	0.078	0.087666667	0.009333333	-0.0625
VNG0880G	psmA1	chr	664212	664976	+	664828	664759	-0.102333333	-0.060666667	-0.089	-0.0925	-0.0765	-0.004666667	-0.123333333	-0.0245
VNG0881G	lig	chr	665121	666803	+	665604	665535	0.098333333	0.039666667	0.1	0.1595	0.1455	0.105666667	0.104	0.168
VNG0882G	pho2	chr	666996	667631	+	667130	667061	0.371666667	0.140666667	0.199666667	0.275	0.169	0.176333333	0.286	0.216
VNG0883H		chr	667700	668491	+	668491	668422	0.222666667	0.213333333	0.297666667	0.4865	0.3945	0.207666667	0.330333333	0.334
VNG0884G	top6A	chr	669545	668448	-	669319	669388	0.104	0.07	0.030333333	0.074	-0.039	0.017	0.027	0.0765
VNG0885G	top6B	chr	671956	669545	-	669941	670010	-0.039666667	0.077	0.035666667	0.0655	-0.071	-0.036	-0.010666667	0.0245
VNG0887G	gyrB	chr	672176	674008	+	672983	672914	0.113666667	0.027333333	-0.032	-0.039	0.013	0.036666667	0.002	-0.018
VNG0889G	gyrA	chr	674013	676484	+	674850	674781	-0.060666667	0.026	-0.061666667	-0.072	-0.048	-0.016	-0.066666667	-0.09
VNG0890G	imd2	chr	676676	677206	+	676880	676811	0.033333333	0.000666667	-0.033	0.0085	0.058	0.025333333	-0.018	-0.0245
VNG0891G	yjlD	chr	677255	678421	+	678351	678282	-0.086	0.006333333	-0.062333333	-0.2045	-0.0425	-0.017	-0.095333333	-0.2595
VNG0892H		chr	678467	678619	+	678581	678512	-0.052	0.026	-0.049333333	-0.1795	-0.0445	0.022	-0.040333333	-0.177
VNG0893G	udp2	chr	679961	679143	-	679183	679252	-0.010333333	0.042666667	-0.023	-0.042	0.008	0.034	-0.037	-0.1105
VNG0896G	cda	chr	680419	680018	-	680299	680368	0.082	0.039	0.002666667	-0.031	0.067	0.081	0.064333333	-0.058
VNG0897G	rbsC1	chr	681555	680473	-	680620	680689	-0.056333333	0.045333333	0.013333333	-0.0765	-0.0535	-0.055	-0.034333333	-0.1415
VNG0898G	rbsC2	chr	682771	681551	-	682564	682633	0.008	0.107333333	0.043333333	-0.068	-0.019	0.016333333	0.064666667	-0.0415
VNG0901G	rbsA	chr	684288	682771	-	683768	683837	-0.018666667	0.103666667	0.027333333	-0.1275	-0.0285	-0.089333333	-0.047666667	-0.259
VNG0903C		chr	685362	684316	-	685047	685116	0.002	0.095666667	0.012	-0.212	-0.0365	-0.044	-0.059666667	-0.3175
VNG0905G	pmu2	chr	686847	685468	-	685686	685755	-0.058666667	-0.021333333	0.003333333	-0.2185	-0.011	0.03	-0.045	-0.2965
VNG0906H		chr	687372	686896	-	687246	687315	-0.187	-0.027	-0.011333333	0.0605	-0.098	-0.032	-0.023333333	0.051
VNG0907H		chr	687546	687689	+	687682	687613	0.016666667	0.056666667	0.022666667	0.0895	0.0415	0.107333333	0.135666667	0.052
VNG0908G	putP	chr	687787	689352	+	689077	689008	0.141333333	0.144333333	0.102666667	0.2435	0.1725	0.210666667	0.231333333	0.2445
VNG0909H		chr	689345	689863	+	689522	689453	0.072333333	-0.085666667	0.047666667	0.2415	0.1435	0.179333333	0.249333333	0.178
VNG0911H		chr	689936	690205	+	690051	689982	0.026333333	0.088	0.017333333	0.079	0.091	0.104	0.077333333	0.0845
VNG0913H		chr	690192	691640	+	691604	691535	0.01	0.057666667	-0.017	0.0665	0.0245	0.074	0.126	0.0765
VNG0914H		chr	692713	691616	-	692269	692338	0.163666667	0.151333333	0.050333333	0.1955	0.131	0.164333333	0.140333333	0.191
VNG0915G	hakA	chr	692869	694059	+	693491	693422	0.039	0.073666667	0.174333333	0.3625	0.1375	0.070333333	0.232666667	0.3115
VNG0916G	ark	chr	696365	694071	-	695283	695352	0.393	0.202666667	0.179	0.334	0.208	0.262	0.332	0.2665
VNG0917G	hrg	chr	696996	696358	-	696784	696853	0.101666667	0.105666667	0.044333333	0.0655	0.057	0.121	0.124333333	0.072
VNG0919G	gst	chr	698097	698783	+	698667	698598	0.342	0.217	0.140333333	0.223	0.1775	0.185	0.231	0.232
VNG0920H		chr	700821	698758	-	700557	700626	-0.069333333	-0.029	-0.047333333	-0.0085	-0.027	0.026666667	0.07	-0.009
VNG0921G	potA1	chr	701954	700824	-	700939	701008	-0.024666667	-0.010333333	-0.099666667	-0.2565	-0.195	-0.034333333	-0.111333333	-0.3335
VNG0923G	sfuB	chr	703560	701950	-	702034	702103	-0.162	-0.013666667	-0.123333333	-0.2475	-0.152	-0.093	-0.148333333	-0.337
VNG0924G	ibp	chr	704714	703566	-	704145	704214	0.18	0.178666667	-0.007333333	-0.276	-0.0425	0.043333333	-0.114333333	-0.248
VNG0925C		chr	705812	704814	-	705307	705376	0.041666667	0.140333333	0.015666667	-0.1785	-0.043	0.028	-0.099666667	-0.231
VNG0926H		chr	705811	705987	+	705987	705918	0.473666667	0.215666667	0.203	0.6035	0.243	0.319333333	0.412	0.4265
VNG0927C		chr	706747	706031	-	706415	706484	0.021666667	0.056333333	0.063333333	0.1155	0.072	0.045666667	0.144333333	0.1
VNG0928G	mak	chr	708309	706747	-	707593	707662	0.252666667	0.125333333	0.133666667	0.2795	0.128	0.195333333	0.224	0.2315
VNG0930G	yvbT	chr	708396	709409	+	708988	708919	0.142666667	0.079	0.100666667	0.311	0.1645	0.141	0.207666667	0.2395
VNG0931G	acaB2	chr	709490	710638	+	709924	709855	-0.101666667	-0.013	-0.005333333	-0.019	-0.1215	-0.037333333	-0.041333333	-0.0575
VNG0932C		chr	710638	711027	+	710800	710731	-0.138	-0.024	-0.041	-0.0595	-0.0835	-0.091	-0.074333333	-0.101
VNG0933G	yqjM	chr	712147	711050	-	711674	711743	0.231333333	0.091	0.065	0.199	0.12	0.117333333	0.156333333	0.2545
VNG0934H		chr	712447	712277	-	712283	712352	-0.011666667	-0.023333333	0.145	0.3985	0.1565	0.030666667	0.192333333	0.3135
VNG0935G	noxC	chr	713143	712505	-	712724	712793	0.103666667	0.152	0.114333333	0.292	0.133	0.134666667	0.292	0.265
VNG0936C		chr	714095	713286	-	713712	713781	0.081	0.104333333	0.092666667	0.1905	0.0445	0.138666667	0.18	0.1355
VNG0937G	gap	chr	714164	715603	+	714645	714576	0.602	0.75	0.693333333	0.6225	0.0295	0.037	0.167333333	0.08
VNG0938G	gufA	chr	716419	715622	-	715690	715759	0.248	0.098333333	0.203666667	0.436	0.274	0.176333333	0.186666667	0.247
VNG0940G	acs3	chr	717143	718768	+	717948	717879	-0.205666667	0.000333333	-0.07	-0.165	-0.1775	-0.030666667	-0.095666667	-0.1875
VNG0941C		chr	718768	719829	+	719555	719486	-0.085333333	0.066666667	-0.011333333	-0.0535	-0.1	-0.01	-0.049333333	-0.1225
VNG0942G	cheW2	chr	720243	719848	-	720075	720144	-0.070666667	0.023666667	0.004333333	-0.0385	-0.0535	-0.002	-0.040333333	-0.041
VNG0943C		chr	720331	720675	+	720507	720438	-0.054333333	0.047333333	0.019	-0.0115	0.003	0.08	0.058666667	0.011
VNG0945H		chr	720747	721025	+	720979	720910	0.104	0.066666667	0.021	0.1335	0.0575	0.038666667	0.091333333	0.2095
VNG0946G	minD1	chr	722001	721033	-	721252	721321	-0.068333333	0.012333333	-0.048	-0.0345	-0.1315	-0.071	-0.046333333	-0.017
VNG0947G	fapJ	chr	723791	722049	-	722624	722693	0.436333333	0.213	0.181333333	0.3645	0.252	0.194	0.295	0.376
VNG0949G	gspE3	chr	725687	723801	-	724962	725031	-0.248333333	0.031333333	-0.019666667	0.025	-0.145	-0.040333333	-0.036333333	-0.0035
VNG0950G	fapH	chr	726340	725702	-	725938	726007	-0.003333333	-0.037333333	-0.028	0.0095	-0.1255	-0.045333333	-0.033666667	0.0545
VNG0953C		chr	727359	726925	-	726941	727010	-0.103	0.015	0.009666667	0.012	-0.0365	-0.040666667	-0.026333333	-0.018
VNG0954C		chr	728857	727346	-	727493	727562	-0.056	-0.026666667	-0.037333333	0.038	-0.113	-0.049666667	-0.079666667	0.059
VNG0955G	fapE	chr	729432	728965	-	728983	729052	-0.151	0.020333333	0.051	0.058	-0.112	-0.067	-0.023	0.035
VNG0958G	htr15	chr	731339	729432	-	731095	731164	0.006333333	0.055666667	0.050333333	0.065	-0.101	0.010666667	0.059666667	0.0355
VNG0959H		chr	731634	731398	-	731439	731508	0.170333333	0.091	0.083333333	0.1885	0.128	0.143	0.224	0.116
VNG0960G	flaB1	chr	731799	732377	+	732228	732159	-0.240666667	-0.091333333	-0.048333333	0.0485	-0.2455	-0.12	-0.093	0.0915
VNG0961G	flaB2	chr	732464	732979	+	732673	732604	-0.155333333	-0.009666667	-0.034666667	-0.053	-0.1635	-0.139	-0.118333333	-0.031
VNG0962G	flaB3	chr	733066	733572	+	733520	733451	-0.224666667	-0.109666667	-0.093	-0.0335	-0.267	-0.134666667	-0.11	0.054
VNG0963G	cpcE	chr	733804	734862	+	734216	734147	-0.121666667	0.045666667	0.013666667	-0.0245	-0.117	-0.075666667	-0.092333333	-0.0265
VNG0964C		chr	735009	735878	+	735141	735072	-0.133	-0.032666667	-0.042	-0.028	-0.09	-0.037333333	-0.049	0.0345
VNG0965C		chr	736773	735913	-	736222	736291	-0.127666667	-0.092	-0.059666667	-0.1335	-0.118	-0.022666667	-0.058333333	-0.0685
VNG0966G	cheR	chr	737544	736843	-	737160	737229	-0.142	0.010666667	0.014333333	0.189	-0.059	-0.048	0.04	0.1895
VNG0967G	cheD	chr	737972	737646	-	737647	737716	-0.225	-0.07	-0.106333333	-0.0235	-0.212	-0.156	-0.066666667	-0.0195
VNG0969H		chr	739246	738110	-	738761	738830	0.088666667	0.167	0.188	0.377	0.1735	0.09	0.192666667	0.314
VNG0970G	cheC1	chr	739835	739251	-	739327	739396	-0.198333333	-0.010333333	-0.024	0.0255	-0.1375	-0.09	-0.038666667	0.0075
VNG0971G	cheA	chr	741844	739841	-	740726	740795	-0.185	0.020333333	0.02	0.128	-0.101	-0.053	0.000333333	0.0875
VNG0973G	cheB	chr	742889	741849	-	741851	741920	-0.215333333	-0.012333333	-0.062333333	-0.018	-0.21	-0.115333333	-0.07	-0.0465
VNG0974G	cheY	chr	743248	742889	-	742931	743000	-0.182666667	-0.016333333	0.003	0.0675	-0.1005	-0.054	-0.053666667	0.06
VNG0976G	cheW1	chr	743831	743298	-	743489	743558	-0.135666667	0.038666667	0.036333333	0.0705	-0.0805	-0.056	-0.032	0.0365
VNG0978H		chr	744489	743899	-	743986	744055	0.022	0.048666667	0.001333333	0.034	-0.0315	-0.013666667	-0.031	0.0585
VNG0979H		chr	744606	745508	+	745490	745421	0.209333333	0.007	0.214333333	0.3365	0.226	0.185666667	0.286333333	0.2845
VNG0981C		chr	745648	746760	+	746353	746284	0.389666667	0.173	0.127333333	0.181	0.177	0.201666667	0.166333333	0.242
VNG0982C		chr	746843	747130	+	747056	746987	0.041666667	0.082	0.036	0.0045	0.0415	0.028666667	0.055	-0.029
VNG0983C		chr	748605	747154	-	748462	748531	0.235666667	0.106666667	0.073	0.106	0.1315	0.169666667	0.109	0.0765
VNG0985H		chr	749392	751395	+	749571	749502	0.271666667	-0.008333333	0.187333333	0.504	0.368	0.203666667	0.383	0.351
VNG0986H		chr	752276	752800	+	752692	752623	0.554666667	0.280333333	0.274666667	0.3995	0.5	0.182333333	0.383666667	0.437
VNG0987H		chr	753131	753544	+	753493	753424	0.072666667	0.047	-0.061666667	-0.1915	0.023	0.122	0.05	-0.2245
VNG0988H		chr	754149	754388	+	754259	754190	0.423333333	0.190333333	0.109	0.3665	0.1325	0.197666667	0.365	0.3755
VNG0989C		chr	755481	754462	-	754738	754807	0.152666667	0.02	0.066	0.2695	0.1865	0.157666667	0.301666667	0.1185
VNG0990H		chr	756010	756180	+	756170	756101	0.312333333	0.104	0.059666667	0.279	0.1525	0.119	0.200666667	0.25
VNG0991H		chr	757016	756678	-	756804	756873	-0.176666667	-0.080666667	-0.091333333	0.036	0.0145	-0.035666667	-0.036333333	0.089
VNG0992H		chr	758119	757412	-	757889	757958	0.007666667	-0.021333333	-0.030333333	0.0285	-0.086	0.000333333	0.046	0.125
VNG0993H		chr	758465	759274	+	758576	758507	0.066333333	0.048333333	0.045	0.2395	0.2025	0.126	0.162666667	0.078
VNG0995H		chr	760365	760550	+	760454	760385	-0.384666667	0.225666667	0.385333333	0.454	-0.064	-0.050666667	0.059666667	0.073
VNG0996G	boa4	chr	760682	762484	+	761917	761848	-0.03	-0.21	0.097333333	0.1705	-0.01	0.066	0.175	0.1035
VNG0997G	acs2	chr	762609	764609	+	763879	763810	-0.103666667	-0.029666667	-0.013333333	0.0885	0.001	-0.010333333	0.105666667	0.233
VNG0998G	yajO2	chr	765629	764622	-	765285	765354	-0.141	-0.081333333	-0.164666667	-0.158	-0.159	-0.069	-0.118666667	-0.177
VNG0999H		chr	766044	765778	-	765934	766003	-0.183333333	-0.060666667	-0.031	0.0905	-0.0655	-0.010333333	-0.023	0.0875
VNG1000H		chr	766603	766809	+	766783	766714	0.044666667	0.033333333	0.117	0.2615	0.1435	0.120333333	0.137	0.1555
VNG1001G	guaB	chr	768538	766958	-	768416	768485	-0.056	0.088666667	-0.015	-0.0715	-0.003	-0.107666667	-0.074	-0.0295
VNG1002H		chr	768965	769879	+	769076	769007	-0.060666667	0	0.010333333	-0.056	-0.0755	-0.022333333	-0.043333333	-0.0775
VNG1003H		chr	769965	770186	+	770163	770094	0.148	0.110333333	0.045	0.0885	0.024	0.084333333	0.100333333	0.1535
VNG1005H		chr	770406	770197	-	770265	770334	0.264333333	0.144333333	0.157333333	0.1165	0.1545	0.147	0.095333333	0.067
VNG1006H		chr	770827	771543	+	770968	770899	0.102	0.117333333	0.067333333	0.202	0.1705	0.112	0.126	0.0945
VNG1007H		chr	771925	771725	-	177117	177186	-0.021	0.047333333	-0.041666667	-0.2245	-0.0155	-0.011666667	-0.084	-0.18
VNG1008G	flaA1a	chr	773360	773947	+	773640	773571	-0.175666667	-0.046	-0.082	-0.063	-0.153	-0.111666667	-0.136666667	-0.0415
VNG1009G	flaA2	chr	774034	774543	+	774338	774269	-0.266	-0.126	-0.094666667	-0.0525	-0.2165	-0.148666667	-0.171333333	-0.0155
VNG1011C		chr	774910	775500	+	775343	775274	0.029	-0.01	0.061333333	0.057	0.1	-0.002666667	0.013666667	0.0705
VNG1012H		chr	775533	775802	+	775669	775600	0.05	0.040666667	0.089666667	0.2935	-0.018	-0.063666667	-0.009666667	0.2865
VNG1013G	htr13	chr	777073	775805	-	775952	776021	0.144	0.077333333	0.061666667	0.159	0.004	-0.005	0.043	0.1475
VNG1014G	yqjH	chr	777110	778450	+	777343	777274	0.182333333	-0.325	0.066666667	0.278	0.0745	0.146333333	0.047333333	0.257
VNG1015H		chr	778820	778449	-	778710	778779	0.067666667	0.089666667	0.071	0.1925	0.112	0.057	0.166333333	0.2335
VNG1017H		chr	779960	778860	-	779108	779177	0.047666667	-0.044333333	0.096	0.124	0.0235	-0.022333333	0.080333333	0.119
VNG1018G	adh3	chr	780246	782045	+	781795	781726	-0.220333333	-0.019	0.080666667	0.0755	-0.183	-0.088333333	0.044333333	0.004
VNG1020C		chr	782045	782893	+	782822	782753	0.1	-0.258333333	0.089666667	0.212	-0.011	-0.025666667	0.032666667	0.151
VNG1021C		chr	782934	783692	+	783352	783283	-0.174666667	0.039	0.118333333	0.19	-0.104	-0.063666667	0.071333333	0.0575
VNG1023C		chr	783700	784713	+	784531	784462	-0.133333333	-0.002666667	0.088666667	0.17	-0.098	-0.069	0.019666667	0.085
VNG1024C		chr	784713	785117	+	784835	784766	-0.018	0.057666667	0.080666667	0.124	-0.044	-0.010666667	0.045	0.121
VNG1025H		chr	785117	785959	+	785845	785776	-0.284666667	0.048666667	0.111333333	0.3365	-0.163	-0.120666667	0.082333333	0.147
VNG1026H		chr	785972	786523	+	786350	786281	-0.033	0.068333333	0.102333333	0.285	0.056	0.068333333	0.133	0.1675
VNG1027G	tpiA	chr	787174	786533	-	787078	787147	-0.013333333	-0.047	-0.022	-0.036	-0.005	0.005	-0.009666667	-0.0165
VNG1029C		chr	787760	787224	-	787478	787547	-0.088	0.030666667	-0.043333333	-0.065	-0.003	-0.000666667	-0.085333333	-0.029
VNG1030G	pgsA	chr	788402	787806	-	787972	788041	0.072333333	0.151333333	0.119666667	0.3395	0.1535	0.152333333	0.268	0.3755
VNG1031C		chr	788908	788402	-	788591	788660	-0.046333333	0.060333333	0.055	-0.0095	-0.005	-0.002	-0.005333333	-0.101
VNG1033G	hisC1	chr	790092	788908	-	789858	789927	0.028666667	-0.005	0.076333333	0.155	0.091	0.086	0.107	0.144
VNG1034H		chr	790091	790528	+	790223	790154	-0.153	-0.067333333	-0.088666667	-0.2085	-0.118	0.011666667	-0.042666667	-0.123
VNG1035C		chr	792188	790602	-	791626	791695	0.295666667	0.144666667	0.083	0.2195	0.189	0.148333333	0.199333333	0.207
VNG1036H		chr	792703	792188	-	792252	792321	0.177666667	0.074333333	0.029333333	0.0635	0.118	0.127333333	0.144	0.1195
VNG1037G	hpcE	chr	793494	792763	-	793224	793293	-0.063666667	-0.119333333	-0.028	-0.027	-0.017	0.000666667	0.066333333	-0.0225
VNG1038C		chr	793607	794326	+	794205	794136	0.114666667	0.071	0.069333333	0.1435	0.015	0.042333333	0.011333333	0.0505
VNG1039H		chr	794483	795022	+	794832	794763	0.148333333	0.186333333	0.128666667	0.185	0.1685	0.094333333	-0.002	0.077
VNG1041H		chr	795747	795136	-	795270	795339	0.241666667	0.065666667	0.144333333	0.3965	0.2215	0.197	0.334	0.3415
VNG1042H		chr	795777	796226	+	795919	795850	0.001333333	0.067	0.085333333	0.187	0.077	0.043	0.056333333	0.1985
VNG1046H		chr	796466	796756	+	796629	796560	0.217666667	0.190666667	0.163333333	0.212	0.101	0.044333333	0.081333333	0.195
VNG1047H		chr	796467	796246	-	796357	796426	-0.100666667	-0.108666667	0.044666667	0.2505	-0.114	-0.097666667	-0.045333333	0.2215
VNG1048G	udg1	chr	798053	796776	-	797635	797704	-0.104	0.030333333	0.013666667	-0.008	-0.069	-0.062333333	-0.063333333	-0.0655
VNG1050H		chr	798476	798129	-	798285	798354	0.216333333	-0.057333333	0.146	0.276	0.1265	0.174666667	0.216	0.2735
VNG1052H		chr	798683	799366	+	799041	798972	-0.111666667	0.066333333	0.08	0.1515	-0.0095	-0.025666667	0.036666667	0.1495
VNG1053G	gtl	chr	800300	799386	-	799630	799699	0.126666667	-0.218333333	-0.009	-0.0555	0.0505	0.037666667	-0.073666667	-0.0095
VNG1054G	ptp	chr	800415	801839	+	800707	800638	0.009	0.116333333	0.030333333	0.057	0.038	0.085666667	0.147666667	0.139
VNG1055G	graD4	chr	801935	802654	+	802531	802462	-4.63E-18	-0.014333333	0.023333333	-0.0425	0.004	-0.008	-0.021666667	-0.0005
VNG1056C		chr	802721	803698	+	802836	802767	-0.107333333	0.02	-0.019333333	-0.14	-0.0805	-0.002	-0.029	-0.106
VNG1057C		chr	805084	803729	-	803994	804063	-0.132333333	-0.067666667	-0.013333333	-0.0185	-0.058	-0.025333333	-0.009666667	0.003
VNG1058H		chr	805308	806423	+	805670	805601	-0.150333333	-0.035333333	-0.130333333	-0.2715	-0.1455	-0.062	-0.114666667	-0.217
VNG1059C		chr	807695	806502	-	807396	807465	-0.021666667	0.011666667	0.010333333	0.1985	-0.0115	-0.102333333	0.069333333	0.1815
VNG1060H		chr	807925	808707	+	808455	808386	0.045666667	0.105666667	0.186	0.32	0.225	0.143333333	0.305333333	0.3725
VNG1062G	rfbQ	chr	808831	809727	+	809595	809526	0.107	0.011333333	0.07	0.211	0.1525	0.150666667	0.170333333	0.18
VNG1063H		chr	810761	809748	-	810389	810458	-0.012666667	0.045	0.022	0.0985	-0.014	-0.014666667	0.092666667	0.0895
VNG1064H		chr	812492	811155	-	812081	812150	0.141	0.029666667	0.138	0.3295	0.1575	0.182	0.316666667	0.3195
VNG1065C		chr	812621	813379	+	813323	813254	0.181333333	0.164666667	0.210333333	0.459	0.1675	0.185666667	0.454	0.3755
VNG1066C		chr	813372	814277	+	814061	813992	0.278	0.223666667	0.167	0.2985	0.221	0.165	0.242666667	0.313
VNG1067G	exoM	chr	815256	814273	-	814962	815031	-0.013	-0.014333333	-0.072333333	-0.24	-0.1285	-0.026666667	-0.061333333	-0.1865
VNG1068G	tot	chr	815317	818577	+	817297	817228	-0.104333333	0.002333333	-0.084333333	-0.263	-0.09	-0.031	-0.097	-0.2255
VNG1069C		chr	818634	819521	+	818967	818898	0.203	0.107666667	0.017333333	-0.0445	0.0455	0.110666667	0.047	0.0245
VNG1070G	gpdA1	chr	820108	819548	-	819772	819841	0.315	0.186	0.093666667	0.288	0.237	0.133666667	0.19	0.257
VNG1071G	cinR	chr	821197	820844	-	821060	821129	-0.002	0.003333333	-0.038333333	-0.0495	-0.038	0.005333333	0.024333333	0.018
VNG1073G	lfl1	chr	822726	821248	-	822605	822674	-0.043666667	0.017333333	-0.031	0.041	-0.0005	0.03	-0.003666667	0.0785
VNG1074G	ykfB2	chr	823564	822722	-	823085	823154	-0.007	0.041666667	0.025333333	0.117	0.0295	0.040666667	0.061	0.126
VNG1075G	menA	chr	824646	823714	-	824178	824247	0.209333333	-0.259	0.092666667	0.2445	0.0815	0.140333333	0.115	0.2115
VNG1077G	opuD	chr	826337	824706	-	826149	826218	0.081	0.108666667	0.049666667	0.306	0.1295	0.164333333	0.265333333	0.2365
VNG1079G	menB	chr	827423	826512	-	826977	827046	-0.033333333	-0.006	0.040666667	-0.0715	-0.0325	-0.012	-0.014666667	-0.0735
VNG1081G	menD	chr	829250	827499	-	828791	828860	0.013666667	0.104666667	0.081	0.1455	0.094	0.111333333	0.109666667	0.2575
VNG1083G	menF	chr	830572	829250	-	830223	830292	0.099333333	-0.278666667	0.003666667	0.052	0.0615	0.067333333	0.040333333	0.0765
VNG1084G	yuiH	chr	831214	830621	-	830952	831021	-0.035	0.078	0.030666667	0.0055	-0.01	0.064333333	0.025	0.034
VNG1085H		chr	831377	831592	+	831496	831427	-0.023666667	0.067333333	0.053333333	0.132	0.0455	-0.034666667	-0.038666667	0.082
VNG1086C		chr	831651	831926	+	831812	831743	-0.118666667	-0.012333333	-0.021666667	0.0175	-0.0695	-0.056666667	-0.068666667	0.0395
VNG1087C		chr	832010	833950	+	833902	833833	-0.098666667	-0.004333333	0.016666667	0.0765	-0.019	-0.052666667	-0.025666667	0.067
VNG1088C		chr	834178	833975	-	834063	834132	-0.034666667	0.040333333	-0.037666667	0.1275	0.0615	-0.038	-0.035666667	0.137
VNG1089G	purA	chr	834481	835800	+	834695	834626	-0.048333333	0.043333333	-0.017333333	-0.076	0.07	-0.029	-0.071333333	-0.1565
VNG1090H		chr	835854	836054	+	835995	835926	-0.053	0.054	0.004666667	-0.018	0.046	-0.001333333	-0.080666667	-0.0955
VNG1092C		chr	837766	836669	-	837582	837651	-0.108666667	0.011666667	0.039333333	0.0625	-0.0605	-0.069	-0.085333333	0.0765
VNG1093C		chr	838644	837769	-	838460	838529	-0.070666667	0.054333333	0.069333333	0.132	-0.029	-0.023333333	-0.056	0.0965
VNG1094H		chr	838735	839916	+	839398	839329	-0.117333333	-0.058333333	-0.038666667	-0.1015	-0.085	0.030333333	-0.034333333	-0.028
VNG1095H		chr	840118	839930	-	839950	840019	0.024666667	0.13	0.071333333	0.2625	0.125	0.078	0.251666667	0.233
VNG1096H		chr	840531	840226	-	840226	840295	-0.005	0.017333333	-0.021666667	-0.0105	-0.008	-0.019666667	-0.01	0.0935
VNG1097G	cysS	chr	840757	842238	+	840900	840831	0.118	-0.014666667	-0.011666667	-0.0795	0.0325	0.087666667	0.019666667	-0.0745
VNG1099C		chr	842300	843133	+	842517	842448	-0.066	-0.120666667	-0.014	-0.045	0.007	0.030333333	0.025	0.0055
VNG1100C		chr	843129	843677	+	843500	843431	0.152	0.063333333	-0.014	-0.006	-0.0055	0.055333333	-0.011333333	-0.0025
VNG1101C		chr	844934	843693	-	844339	844408	0.181	0.069666667	0.179666667	0.3275	0.255	0.159333333	0.281666667	0.234
VNG1103G	rpl12p	chr	845399	845058	-	845232	845301	-0.000333333	-0.015	-0.137666667	-0.473	0.0665	-0.007333333	-0.170333333	-0.675
VNG1104G	rpl10p	chr	846463	845408	-	846132	846201	-0.035	-0.028	-0.169	-0.5715	-0.001	-0.023666667	-0.165666667	-0.7725
VNG1105G	rpl1p	chr	847103	846468	-	846708	846777	-0.004666667	-0.025	-0.140333333	-0.512	0.0305	0.003333333	-0.177666667	-0.715
VNG1108G	rpl11p	chr	847795	847307	-	847546	847615	0.022666667	-0.012	-0.077333333	-0.2975	0.0885	0.035333333	-0.152666667	-0.421
VNG1110C		chr	848072	847869	-	847910	847979	-0.095	-0.043333333	-0.070666667	-0.2705	-0.045	0.071333333	-0.063	-0.2915
VNG1111G	drg	chr	848173	849282	+	849076	849007	-0.123	-0.054	-0.097	-0.19	-0.1145	-0.041	-0.118	-0.2275
VNG1112H		chr	849289	849696	+	849469	849400	0.031666667	0.121333333	0.058666667	0.206	0.118	0.124333333	0.261	0.1805
VNG1114G	glo1	chr	849749	850531	+	850092	850023	-0.028	-0.153333333	-0.058333333	-0.11	-0.046	-0.031333333	-0.099333333	-0.125
VNG1115H		chr	850650	851021	+	850794	850725	-0.164333333	-0.045666667	-0.019	-0.0955	-0.0675	-0.061	0.000666667	-0.1305
